19:39:38.907401 ARP, Request who-has 192.168.6.134 (Broadcast) tell 192.168.6.131, length 46
19:39:38.907707 ARP, Reply 192.168.6.134 is-at 00:0c:29:f6:f6:c8 (oui Unknown), length 46
19:39:39.107895 IP 192.168.6.131.49109 > 192.168.6.2.domain: 57171+ PTR? 134.6.168.192.in-addr.arpa. (44)
19:39:39.149922 IP 192.168.6.2.domain > 192.168.6.131.49109: 57171 NXDomain 0/1/0 (103)
19:39:39.151047 IP 192.168.6.131.64374 > 192.168.6.134.ftp: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.458019 IP 192.168.6.131.64375 > 192.168.6.134.tproxy: Flags [S], seq 3226933021, win 1024, options [mss 1460], length 0
19:39:40.458033 IP 192.168.6.131.64375 > 192.168.6.134.9999: Flags [S], seq 3226933021, win 1024, options [mss 1460], length 0
19:39:40.458058 IP 192.168.6.134.time > 192.168.6.131.64375: Flags [R.], seq 0, ack 3226933022, win 0, length 0
19:39:40.458075 IP 192.168.6.134.49152 > 192.168.6.131.64375: Flags [R.], seq 0, ack 3226933022, win 0, length 0
19:39:40.458104 IP 192.168.6.134.5101 > 192.168.6.131.64375: Flags [R.], seq 0, ack 3226933022, win 0, length 0
19:39:40.458122 IP 192.168.6.134.7070 > 192.168.6.131.64375: Flags [R.], seq 0, ack 3226933022, win 0, length 0
19:39:40.458152 IP 192.168.6.134.3000 > 192.168.6.131.64375: Flags [R.], seq 0, ack 3226933022, win 0, length 0
19:39:40.458183 IP 192.168.6.134.1029 > 192.168.6.131.64375: Flags [R.], seq 0, ack 3226933022, win 0, length 0
19:39:40.458216 IP 192.168.6.134.1028 > 192.168.6.131.64375: Flags [R.], seq 0, ack 3226933022, win 0, length 0
19:39:40.458248 IP 192.168.6.134.ftps > 192.168.6.131.64375: Flags [R.], seq 0, ack 3226933022, win 0, length 0
19:39:40.458280 IP 192.168.6.134.1755 > 192.168.6.131.64375: Flags [R.], seq 0, ack 3226933022, win 0, length 0
19:39:40.458313 IP 192.168.6.134.tproxy > 192.168.6.131.64375: Flags [R.], seq 0, ack 3226933022, win 0, length 0
19:39:40.458344 IP 192.168.6.134.9999 > 192.168.6.131.64375: Flags [R.], seq 0, ack 3226933022, win 0, length 0
19:39:40.461106 IP 192.168.6.131.64375 > 192.168.6.134.x11-1: Flags [S], seq 3226933021, win 1024, options [mss 1460], length 0
19:39:40.461269 IP 192.168.6.131.64375 > 192.168.6.134.1027: Flags [S], seq 3226933021, win 1024, options [mss 1460], length 0
19:39:40.461351 IP 192.168.6.131.64375 > 192.168.6.134.radmin-port: Flags [S], seq 3226933021, win 1024, options [mss 1460], length 0
19:39:40.461388 IP 192.168.6.131.64375 > 192.168.6.134.2717: Flags [S], seq 3226933021, win 1024, options [mss 1460], length 0
19:39:40.461457 IP 192.168.6.131.64375 > 192.168.6.134.9100: Flags [S], seq 3226933021, win 1024, options [mss 1460], length 0
19:39:40.461531 IP 192.168.6.131.64375 > 192.168.6.134.kshell: Flags [S], seq 3226933021, win 1024, options [mss 1460], length 0
19:39:40.461589 IP 192.168.6.131.64375 > 192.168.6.134.646: Flags [S], seq 3226933021, win 1024, options [mss 1460], length 0
19:39:40.461623 IP 192.168.6.131.64375 > 192.168.6.134.kerberos: Flags [S], seq 3226933021, win 1024, options [mss 1460], length 0
19:39:40.461747 IP 192.168.6.134.x11-1 > 192.168.6.131.64375: Flags [R.], seq 0, ack 3226933022, win 0, length 0
19:39:40.461823 IP 192.168.6.134.1027 > 192.168.6.131.64375: Flags [R.], seq 0, ack 3226933022, win 0, length 0
19:39:40.461885 IP 192.168.6.134.radmin-port > 192.168.6.131.64375: Flags [R.], seq 0, ack 3226933022, win 0, length 0
19:39:40.461958 IP 192.168.6.134.2717 > 192.168.6.131.64375: Flags [R.], seq 0, ack 3226933022, win 0, length 0
19:39:40.461994 IP 192.168.6.134.9100 > 192.168.6.131.64375: Flags [R.], seq 0, ack 3226933022, win 0, length 0
19:39:40.462019 IP 192.168.6.134.kshell > 192.168.6.131.64375: Flags [R.], seq 0, ack 3226933022, win 0, length 0
19:39:40.462050 IP 192.168.6.134.646 > 192.168.6.131.64375: Flags [R.], seq 0, ack 3226933022, win 0, length 0
19:39:40.462081 IP 192.168.6.134.kerberos > 192.168.6.131.64375: Flags [R.], seq 0, ack 3226933022, win 0, length 0
19:39:40.464928 IP 192.168.6.131.64375 > 192.168.6.134.1900: Flags [S], seq 3226933021, win 1024, options [mss 1460], length 0
19:39:40.465001 IP 192.168.6.131.64375 > 192.168.6.134.cisco-sccp: Flags [S], seq 3226933021, win 1024, options [mss 1460], length 0
19:39:40.465022 IP 192.168.6.131.64375 > 192.168.6.134.26: Flags [S], seq 3226933021, win 1024, options [mss 1460], length 0
19:39:40.465116 IP 192.168.6.134.1900 > 192.168.6.131.64375: Flags [R.], seq 0, ack 3226933022, win 0, length 0
19:39:40.465162 IP 192.168.6.134.cisco-sccp > 192.168.6.131.64375: Flags [R.], seq 0, ack 3226933022, win 0, length 0
19:39:40.465196 IP 192.168.6.134.26 > 192.168.6.131.64375: Flags [R.], seq 0, ack 3226933022, win 0, length 0
19:39:40.468216 IP 192.168.6.131.64375 > 192.168.6.134.urd: Flags [S], seq 3226933021, win 1024, options [mss 1460], length 0
19:39:40.468406 IP 192.168.6.134.urd > 192.168.6.131.64375: Flags [R.], seq 0, ack 3226933022, win 0, length 0
19:39:40.470710 IP 192.168.6.131.64375 > 192.168.6.134.iprop: Flags [S], seq 3226933021, win 1024, options [mss 1460], length 0
19:39:40.470793 IP 192.168.6.131.64375 > 192.168.6.134.bgp: Flags [S], seq 3226933021, win 1024, options [mss 1460], length 0
19:39:40.470813 IP 192.168.6.131.64375 > 192.168.6.134.postgresql: Flags [S], seq 3226933021, win 1024, options [mss 1460], length 0
19:39:40.470831 IP 192.168.6.131.64375 > 192.168.6.134.144: Flags [S], seq 3226933021, win 1024, options [mss 1460], length 0
19:39:40.470848 IP 192.168.6.131.64375 > 192.168.6.134.1110: Flags [S], seq 3226933021, win 1024, options [mss 1460], length 0
19:39:40.470948 IP 192.168.6.134.iprop > 192.168.6.131.64375: Flags [R.], seq 0, ack 3226933022, win 0, length 0
19:39:40.471010 IP 192.168.6.134.bgp > 192.168.6.131.64375: Flags [R.], seq 0, ack 3226933022, win 0, length 0
19:39:40.471047 IP 192.168.6.134.postgresql > 192.168.6.131.64375: Flags [R.], seq 0, ack 3226933022, win 0, length 0
19:39:40.471078 IP 192.168.6.134.144 > 192.168.6.131.64375: Flags [R.], seq 0, ack 3226933022, win 0, length 0
19:39:40.471109 IP 192.168.6.134.1110 > 192.168.6.131.64375: Flags [R.], seq 0, ack 3226933022, win 0, length 0
19:39:40.473163 IP 192.168.6.131.64375 > 192.168.6.134.daytime: Flags [S], seq 3226933021, win 1024, options [mss 1460], length 0
19:39:40.473232 IP 192.168.6.131.64375 > 192.168.6.134.afpovertcp: Flags [S], seq 3226933021, win 1024, options [mss 1460], length 0
19:39:40.473252 IP 192.168.6.131.64375 > 192.168.6.134.8443: Flags [S], seq 3226933021, win 1024, options [mss 1460], length 0
19:39:40.473352 IP 192.168.6.134.daytime > 192.168.6.131.64375: Flags [R.], seq 0, ack 3226933022, win 0, length 0
19:39:40.473395 IP 192.168.6.134.afpovertcp > 192.168.6.131.64375: Flags [R.], seq 0, ack 3226933022, win 0, length 0
19:39:40.473428 IP 192.168.6.134.8443 > 192.168.6.131.64375: Flags [R.], seq 0, ack 3226933022, win 0, length 0
19:39:40.555540 IP 192.168.6.131.64374 > 192.168.6.134.8008: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.555671 IP 192.168.6.134.8008 > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.561382 IP 192.168.6.131.64374 > 192.168.6.134.81: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.561783 IP 192.168.6.134.81 > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.566760 IP 192.168.6.131.64374 > 192.168.6.134.nrpe: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.567126 IP 192.168.6.134.nrpe > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.571975 IP 192.168.6.131.64374 > 192.168.6.134.x11: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.572141 IP 192.168.6.134.x11 > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.577363 IP 192.168.6.131.64374 > 192.168.6.134.49155: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.577662 IP 192.168.6.134.49155 > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.582594 IP 192.168.6.131.64374 > 192.168.6.134.6646: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.582735 IP 192.168.6.134.6646 > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.587991 IP 192.168.6.131.64374 > 192.168.6.134.8000: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.588134 IP 192.168.6.134.8000 > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.594679 IP 192.168.6.131.64374 > 192.168.6.134.rsync: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.596573 IP 192.168.6.134.rsync > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.599608 IP 192.168.6.131.64374 > 192.168.6.134.finger: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.600599 IP 192.168.6.134.finger > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.604695 IP 192.168.6.131.64374 > 192.168.6.134.sip: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.605071 IP 192.168.6.134.sip > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.610138 IP 192.168.6.131.64374 > 192.168.6.134.webmin: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.610388 IP 192.168.6.134.webmin > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.615910 IP 192.168.6.131.64374 > 192.168.6.134.ms-sql-s: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.616276 IP 192.168.6.134.ms-sql-s > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.621110 IP 192.168.6.131.64374 > 192.168.6.134.2001: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.621275 IP 192.168.6.134.2001 > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.626669 IP 192.168.6.131.64374 > 192.168.6.134.5800: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.627195 IP 192.168.6.134.5800 > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.632052 IP 192.168.6.131.64374 > 192.168.6.134.5631: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.632565 IP 192.168.6.134.5631 > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.637300 IP 192.168.6.131.64374 > 192.168.6.134.5009: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.637924 IP 192.168.6.134.5009 > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.642821 IP 192.168.6.131.64374 > 192.168.6.134.echo: Flags [S], seq 3226867484, win 1024, options [mss 1460], length 0
19:39:40.643289 IP 192.168.6.134.echo > 192.168.6.131.64374: Flags [R.], seq 0, ack 3226867485, win 0, length 0
19:39:40.658270 IP 192.168.6.131.64375 > 192.168.6.134.8008: Flags [S], seq 3226933021, win 1024, options [mss 1460], length 0
19:39:40.658767 IP 192.168.6.134.8008 > 192.168.6.131.64375: Flags [R.], seq 0, ack 3226933022, win 0, length 0
19:39:40.663782 IP 192.168.6.131.64375 > 192.168.6.134.81: Flags [S], seq 3226933021, win 1024, options [mss 1460], length 0
19:39:40.664243 IP 192.168.6.134.81 > 192.168.6.131.64375: Flags [R.], seq 0, ack 3226933022, win 0, length 0
19:39:40.669117 IP 192.168.6.131.64375 > 192.168.6.134.nrpe: Flags [S], seq 3226933021, win 1024, options [mss 1460], length 0
19:39:40.669301 IP 192.168.6.134.nrpe > 192.168.6.131.64375: Flags [R.], seq 0, ack 3226933022, win 0, length 0
19:39:40.674463 IP 192.168.6.131.64375 > 192.168.6.134.x11: Flags [S], seq 3226933021, win 1024, options [mss 1460], length 0
19:39:40.674642 IP 192.168.6.134.x11 > 192.168.6.131.64375: Flags [R.], seq 0, ack 3226933022, win 0, length 0
19:39:40.680396 IP 192.168.6.131.64375 > 192.168.6.134.49155: Flags [S], seq 3226933021, win 1024, options [mss 1460], length 0
19:39:40.680835 IP 192.168.6.134.49155 > 192.168.6.131.64375: Flags [R.], seq 0, ack 3226933022, win 0, length 0
19:39:40.685546 IP 192.168.6.131.64375 > 192.168.6.134.6646: Flags [S], seq 3226933021, win 1024, options [mss 1460], length 0
19:39:40.686009 IP 192.168.6.134.6646 > 192.168.6.131.64375: Flags [R.], seq 0, ack 3226933022, win 0, length 0
19:39:40.691000 IP 192.168.6.131.64375 > 192.168.6.134.8000: Flags [S], seq 3226933021, win 1024, options [mss 1460], length 0
19:39:40.691128 IP 192.168.6.134.8000 > 192.168.6.131.64375: Flags [R.], seq 0, ack 3226933022, win 0, length 0
19:39:40.696499 IP 192.168.6.131.64375 > 192.168.6.134.rsync: Flags [S], seq 3226933021, win 1024, options [mss 1460], length 0
19:39:40.696663 IP 192.168.6.134.rsync > 192.168.6.131.64375: Flags [R.], seq 0, ack 3226933022, win 0, length 0
19:39:40.701615 IP 192.168.6.131.64375 > 192.168.6.134.finger: Flags [S], seq 3226933021, win 1024, options [mss 1460], length 0
19:39:40.701785 IP 192.168.6.134.finger > 192.168.6.131.64375: Flags [R.], seq 0, ack 3226933022, win 0, length 0
19:39:40.707102 IP 192.168.6.131.64375 > 192.168.6.134.sip: Flags [S], seq 3226933021, win 1024, options [mss 1460], length 0
19:39:40.707232 IP 192.168.6.134.sip > 192.168.6.131.64375: Flags [R.], seq 0, ack 3226933022, win 0, length 0
19:39:40.712614 IP 192.168.6.131.64375 > 192.168.6.134.webmin: Flags [S], seq 3226933021, win 1024, options [mss 1460], length 0
19:39:40.713074 IP 192.168.6.134.webmin > 192.168.6.131.64375: Flags [R.], seq 0, ack 3226933022, win 0, length 0
19:39:40.718035 IP 192.168.6.131.64375 > 192.168.6.134.ms-sql-s: Flags [S], seq 3226933021, win 1024, options [mss 1460], length 0
19:39:40.718359 IP 192.168.6.134.ms-sql-s > 192.168.6.131.64375: Flags [R.], seq 0, ack 3226933022, win 0, length 0
19:39:40.723232 IP 192.168.6.131.64375 > 192.168.6.134.2001: Flags [S], seq 3226933021, win 1024, options [mss 1460], length 0
19:39:40.723374 IP 192.168.6.134.2001 > 192.168.6.131.64375: Flags [R.], seq 0, ack 3226933022, win 0, length 0
19:39:40.728503 IP 192.168.6.131.64375 > 192.168.6.134.5800: Flags [S], seq 3226933021, win 1024, options [mss 1460], length 0
19:39:40.728918 IP 192.168.6.134.5800 > 192.168.6.131.64375: Flags [R.], seq 0, ack 3226933022, win 0, length 0
19:39:40.733737 IP 192.168.6.131.64375 > 192.168.6.134.5631: Flags [S], seq 3226933021, win 1024, options [mss 1460], length 0
19:39:40.733994 IP 192.168.6.134.5631 > 192.168.6.131.64375: Flags [R.], seq 0, ack 3226933022, win 0, length 0
19:39:40.738944 IP 192.168.6.131.64375 > 192.168.6.134.5009: Flags [S], seq 3226933021, win 1024, options [mss 1460], length 0
19:39:40.739073 IP 192.168.6.134.5009 > 192.168.6.131.64375: Flags [R.], seq 0, ack 3226933022, win 0, length 0
19:39:40.744451 IP 192.168.6.131.64375 > 192.168.6.134.echo: Flags [S], seq 3226933021, win 1024, options [mss 1460], length 0
19:39:40.744602 IP 192.168.6.134.echo > 192.168.6.131.64375: Flags [R.], seq 0, ack 3226933022, win 0, length 0

